name,value,year,lastValue,rank
707,21,1974,,4
707,28,1975,21.0,4
707,37,1976,28.0,4
707,45,1977,37.0,4
707,58,1978,45.0,4
707,64,1979,58.0,5
707,67,1980,64.0,5
707,69,1981,67.0,5
707,77,1982,69.0,5
707,85,1983,77.0,5
707,93,1984,85.0,6
707,96,1985,93.0,6
707,100,1986,96.0,7
707,109,1987,100.0,8
707,109,1988,109.0,8
707,114,1989,109.0,8
707,118,1990,114.0,9
707,132,1991,118.0,9
707,137,1992,132.0,9
707,137,1993,137.0,9
707,138,1994,137.0,9
707,138,1995,138.0,9
707,138,1996,138.0,9
707,138,1997,138.0,9
707,138,1998,138.0,11
707,138,1999,138.0,11
707,138,2000,138.0,12
707,138,2001,138.0,12
707,138,2002,138.0,12
707,138,2003,138.0,12
707,138,2004,138.0,12
707,138,2005,138.0,13
707,138,2006,138.0,13
707,138,2007,138.0,13
707,138,2008,138.0,13
707,138,2009,138.0,13
707,138,2010,138.0,13
707,138,2011,138.0,13
707,138,2012,138.0,13
707,138,2013,138.0,13
707,138,2014,138.0,15
707,138,2015,138.0,15
707,138,2016,138.0,15
707,138,2017,138.0,16
707,138,2018,138.0,16
707,138,2019,138.0,16
717,0,1974,138.0,11
717,0,1975,0.0,11
717,0,1976,0.0,11
717,0,1977,0.0,11
717,0,1978,0.0,11
717,0,1979,0.0,11
717,0,1980,0.0,11
717,0,1981,0.0,11
717,0,1982,0.0,12
717,0,1983,0.0,13
717,0,1984,0.0,13
717,0,1985,0.0,13
717,0,1986,0.0,13
717,0,1987,0.0,13
717,0,1988,0.0,13
717,0,1989,0.0,13
717,0,1990,0.0,13
717,0,1991,0.0,13
717,0,1992,0.0,13
717,0,1993,0.0,14
717,0,1994,0.0,14
717,0,1995,0.0,15
717,0,1996,0.0,15
717,0,1997,0.0,15
717,0,1998,0.0,15
717,12,1999,0.0,13
717,44,2000,12.0,13
717,93,2001,44.0,13
717,113,2002,93.0,13
717,125,2003,113.0,13
717,137,2004,125.0,13
717,150,2005,137.0,12
717,155,2006,150.0,12
717,155,2007,155.0,12
717,155,2008,155.0,12
717,155,2009,155.0,12
717,155,2010,155.0,12
717,155,2011,155.0,12
717,155,2012,155.0,12
717,155,2013,155.0,12
717,155,2014,155.0,13
717,155,2015,155.0,14
717,155,2016,155.0,14
717,155,2017,155.0,14
717,155,2018,155.0,15
717,155,2019,155.0,15
727,91,1974,155.0,1
727,182,1975,91.0,1
727,243,1976,182.0,1
727,310,1977,243.0,1
727,428,1978,310.0,1
727,564,1979,428.0,1
727,695,1980,564.0,1
727,789,1981,695.0,1
727,815,1982,789.0,1
727,826,1983,815.0,1
727,834,1984,826.0,1
727,834,1985,834.0,2
727,834,1986,834.0,2
727,834,1987,834.0,2
727,834,1988,834.0,2
727,834,1989,834.0,2
727,834,1990,834.0,2
727,834,1991,834.0,2
727,834,1992,834.0,2
727,834,1993,834.0,2
727,834,1994,834.0,2
727,834,1995,834.0,3
727,834,1996,834.0,3
727,834,1997,834.0,3
727,834,1998,834.0,5
727,834,1999,834.0,5
727,834,2000,834.0,5
727,834,2001,834.0,6
727,834,2002,834.0,6
727,834,2003,834.0,6
727,834,2004,834.0,6
727,834,2005,834.0,6
727,834,2006,834.0,6
727,834,2007,834.0,6
727,834,2008,834.0,6
727,834,2009,834.0,7
727,834,2010,834.0,7
727,834,2011,834.0,8
727,834,2012,834.0,8
727,834,2013,834.0,8
727,834,2014,834.0,8
727,834,2015,834.0,8
727,834,2016,834.0,8
727,834,2017,834.0,8
727,834,2018,834.0,8
727,834,2019,834.0,8
737,55,1974,834.0,2
737,106,1975,55.0,2
