name,value,year,lastValue,rank
B707,21,1974,NA,4
B707,28,1975,21.0,4
B707,37,1976,28.0,4
B707,45,1977,37.0,4
B707,58,1978,45.0,4
B707,43,1979,58.0,5
B707,39,1980,43.0,5
B707,32,1981,39.0,5
B707,32,1982,32.0,5
B707,27,1983,32.0,6
B707,29,1984,27.0,8
B707,29,1985,29.0,8
B707,31,1986,29.0,8
B707,32,1987,31.0,7
B707,24,1988,32.0,7
B707,21,1989,24.0,8
B707,22,1990,21.0,8
B707,32,1991,22.0,8
B707,28,1992,32.0,8
B707,28,1993,28.0,8
B707,24,1994,28.0,9
B707,20,1995,24.0,10
B707,6,1996,20.0,11
B707,1,1997,6.0,11
B707,1,1998,1.0,11
B707,NA,1999,1.0,14
B707,NA,2000,NA,14
B707,NA,2001,NA,14
B707,NA,2002,NA,14
B707,NA,2003,NA,14
B707,NA,2004,NA,14
B707,NA,2005,NA,14
B707,NA,2006,NA,14
B707,NA,2007,NA,14
B707,NA,2008,NA,14
B707,NA,2009,NA,14
B707,NA,2010,NA,14
B707,NA,2011,NA,14
B707,NA,2012,NA,13
B707,NA,2013,NA,13
B707,NA,2014,NA,14
B707,NA,2015,NA,14
B707,NA,2016,NA,14
B707,NA,2017,NA,13
B707,NA,2018,NA,14
B707,NA,2019,NA,14
B717,NA,1974,NA,11
B717,NA,1975,NA,11
B717,NA,1976,NA,11
B717,NA,1977,NA,11
B717,NA,1978,NA,11
B717,NA,1979,NA,11
B717,NA,1980,NA,11
B717,NA,1981,NA,11
B717,NA,1982,NA,12
B717,NA,1983,NA,13
B717,NA,1984,NA,13
B717,NA,1985,NA,13
B717,NA,1986,NA,13
B717,NA,1987,NA,13
B717,NA,1988,NA,13
B717,NA,1989,NA,13
B717,NA,1990,NA,13
B717,NA,1991,NA,13
B717,NA,1992,NA,13
B717,NA,1993,NA,14
B717,NA,1994,NA,14
B717,NA,1995,NA,14
B717,NA,1996,NA,14
B717,NA,1997,NA,14
B717,NA,1998,NA,14
B717,12,1999,NA,10
B717,44,2000,12.0,10
B717,93,2001,44.0,9
B717,113,2002,93.0,8
B717,125,2003,113.0,8
B717,125,2004,125.0,7
B717,106,2005,125.0,7
B717,62,2006,106.0,8
B717,42,2007,62.0,9
B717,30,2008,42.0,9
B717,18,2009,30.0,10
B717,5,2010,18.0,10
B717,NA,2011,5.0,14
B717,NA,2012,NA,13
B717,NA,2013,NA,13
B717,NA,2014,NA,14
B717,NA,2015,NA,14
B717,NA,2016,NA,14
B717,NA,2017,NA,13
B717,NA,2018,NA,14
B717,NA,2019,NA,14
B727,91,1974,NA,1
B727,182,1975,91.0,1
B727,243,1976,182.0,1
B727,310,1977,243.0,1
B727,428,1978,310.0,1
B727,473,1979,428.0,1
B727,513,1980,473.0,1
B727,546,1981,513.0,1
B727,505,1982,546.0,1
B727,398,1983,505.0,2
B727,270,1984,398.0,2
B727,139,1985,270.0,3
B727,45,1986,139.0,7
B727,19,1987,45.0,8
B727,8,1988,19.0,9
B727,NA,1989,8.0,13
B727,NA,1990,NA,13
B727,NA,1991,NA,13
B727,NA,1992,NA,13
B727,NA,1993,NA,14
B727,NA,1994,NA,14
B727,NA,1995,NA,14
B727,NA,1996,NA,14
B727,NA,1997,NA,14
B727,NA,1998,NA,14
B727,NA,1999,NA,14
B727,NA,2000,NA,14
B727,NA,2001,NA,14
B727,NA,2002,NA,14
B727,NA,2003,NA,14
B727,NA,2004,NA,14
B727,NA,2005,NA,14
B727,NA,2006,NA,14
B727,NA,2007,NA,14
B727,NA,2008,NA,14
B727,NA,2009,NA,14
B727,NA,2010,NA,14
B727,NA,2011,NA,14
B727,NA,2012,NA,13
B727,NA,2013,NA,13
B727,NA,2014,NA,14
B727,NA,2015,NA,14
B727,NA,2016,NA,14
B727,NA,2017,NA,13
B727,NA,2018,NA,14
B727,NA,2019,NA,14
B737,55,1974,NA,2
B737,106,1975,55.0,2
B737,147,1976,106.0,2
B737,172,1977,147.0,2
B737,212,1978,172.0,2
B737,234,1979,212.0,2
B737,275,1980,234.0,2
B737,342,1981,275.0,2
B737,412,1982,342.0,2
B737,454,1983,412.0,1
B737,444,1984,454.0,1
B737,467,1985,444.0,1
B737,500,1986,467.0,1
B737,566,1987,500.0,1
B737,649,1988,566.0,1
B737,728,1989,649.0,1
B737,787,1990,728.0,1
B737,861,1991,787.0,1
B737,918,1992,861.0,1
B737,905,1993,918.0,1
B737,880,1994,905.0,1
B737,795,1995,880.0,1
B737,656,1996,795.0,1
B737,573,1997,656.0,1
B737,703,1998,573.0,1
B737,902,1999,703.0,1
B737,1095,2000,902.0,1
B737,1318,2001,1095.0,1
B737,1406,2002,1318.0,1
B737,1297,2003,1406.0,1
B737,1179,2004,1297.0,2
B737,1109,2005,1179.0,2
B737,1112,2006,1109.0,2
B737,1219,2007,1112.0,2
B737,1336,2008,1219.0,2
B737,1506,2009,1336.0,2
B737,1670,2010,1506.0,2
B737,1740,2011,1670.0,2
B737,1825,2012,1740.0,2
B737,1975,2013,1825.0,2
B737,2088,2014,1975.0,2
B737,2207,2015,2088.0,2
B737,2325,2016,2207.0,2
B737,2439,2017,2325.0,2
B737,2579,2018,2439.0,2
B737,2183,2019,2579.0,2
B747,22,1974,NA,3
B747,43,1975,22.0,3
B747,70,1976,43.0,3
B747,90,1977,70.0,3
B747,122,1978,90.0,3
B747,167,1979,122.0,3
B747,219,1980,167.0,3
B747,245,1981,219.0,3
B747,251,1982,245.0,3
B747,241,1983,251.0,3
B747,190,1984,241.0,3
B747,141,1985,190.0,2
B747,123,1986,141.0,3
B747,120,1987,123.0,4
B747,122,1988,120.0,5
B747,151,1989,122.0,4
B747,197,1990,151.0,4
B747,226,1991,197.0,5
B747,264,1992,226.0,5
B747,296,1993,264.0,4
B747,291,1994,296.0,4
B747,246,1995,291.0,5
B747,208,1996,246.0,5
B747,186,1997,208.0,5
B747,183,1998,186.0,5
B747,190,1999,183.0,6
B747,190,2000,190.0,6
B747,195,2001,190.0,6
B747,183,2002,195.0,7
B747,149,2003,183.0,7
B747,117,2004,149.0,9
B747,105,2005,117.0,8
B747,88,2006,105.0,7
B747,77,2007,88.0,6
B747,72,2008,77.0,6
B747,65,2009,72.0,6
B747,52,2010,65.0,7
B747,47,2011,52.0,7
B747,62,2012,47.0,7
B747,72,2013,62.0,8
B747,83,2014,72.0,8
B747,101,2015,83.0,7
B747,101,2016,101.0,7
B747,84,2017,101.0,8
